Family,pathogen_species,Disease,Reservoir_order,spill_type,Reservoir_spill_notes,Reservoir_spill_reference,CFR_low,CFR_high,CFR_avg,CFR_notes,CFR_reference,transmissibility,transmissibility_notes,transmissibility_reference,transmission_route_primary,transmission_route_notes,transmission_route_reference,Cell,cell_notes,cell_reference,Synonym,Type,Motility,Spore,PubMed.records.log
Legionellaceae,Legionella pneumophila,Pontiac fever,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, van Deuren et al. 2000",0,0,0,Case fatality rate: extremely low,"Nazarin et al. 2015, Mbaeyi et al. 2021",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Mbaeyi et al. 2021",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Mbaeyi et al. 2021",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,3.739651
Enterobacteriaceae,Salmonella enterica subsp. enterica serovar Typhi,Typhoid fever,Primates,not_zoonotic,human pathogen,"Aishwarya Devaraj et al. 2021, Mattoo and Cherry, 2005",0.1,0.3,0.2,"without effective treatment, typhoid fever has a case-fatality rate of 10â€“30%. This number is reduced to 1â€“4% in those receiving appropriate therapy [1].","Buckle et al. 2012, Muloiwa et al. 2020",4,Typhoid Mary transmits disease to many other citizens,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/typhoid-and-paratyphoid-fever , Mattoo and Cherry, 2005",via_environment,,"https://www.cdc.gov/typhoid-fever/health-professional.html , Mattoo and Cherry, 2005",Facultative intracellular,NA,NA,"Salmonella typhi; Salmonella enterica serovar Typhi; Salmonella choleraesuis typhi, etc.",Bacteria,Motile,No,1.342423
Bartonellaceae,Bartonella ancashensis,Carrion's disease; Oroya fever; Verruga peruana,Primates,not_zoonotic,proxy from Carrion's disease,", Barbour, 2017",0.88,0.88,0.88,CFR is 88% in untreated cases--this is reduced to 10% in treated cases,"Gomes et al. 2016, Forrester et al. 2014",4,transmissibility for Carrion's Disease,"https://www.cdc.gov/bartonella/transmission/index.html#:~:text=Carri%C3%B3n's%20disease%2C%20Bartonella%20bacilliformis,Peru%2C%20Colombia%2C%20and%20Ecuador. , Russell et al. 2018",vector,"sandflies, proxied with Bartonella bacilliformia","https://www.cdc.gov/bartonella/transmission/index.html , Russell et al. 2018",Facultative intracellular,NA,NA,Candidatus Bartonella ancashi,Bacteria,Non-motile,No,0.60206
Retroviridae,Human immunodeficiency virus 1,AIDS; Aquired immunodeficiency syndrome,Primates,not_zoonotic,human pathogen,", Myerowitz et al. 1979",1,1,1,,"https://www.who.int/home/cms-decommissioning, Cordes et al. 1981",4,"transmissibility of disease not specific strain, sexually transmitted disease",", BÃ¤ck et al. 1983",bodily_fluids,,"https://www.cdc.gov/hiv/basics/transmission.html , Stout et al. 1982",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,HIV; Human immunodeficiency virus type-1 HIV-1; Human immunodeficiency virus HIV-1,Virus,NA,NA,3.522575
Retroviridae,Human immunodeficiency virus 2,AIDS; Aquired immunodeficiency syndrome,Primates,not_zoonotic,human pathogen,", Myerowitz et al. 1979",1,1,1,,"https://www.who.int/home/cms-decommissioning, Cordes et al. 1981",4,"transmissibility of disease not specific strain, sexually transmitted disease",", BÃ¤ck et al. 1983",bodily_fluids,,"https://www.cdc.gov/hiv/basics/transmission.html , Stout et al. 1982",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,"HIV2; Human immunodeficiency virus-2; Human immunodeficiency virus type 2, etc.",Virus,NA,NA,1.70757
Herpesviridae,Human alphaherpesvirus 3,Chickenpox; Varicella; Herpes zoster; Shingles,Primates,not_zoonotic,human pathogen,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/varicella-chickenpox#:~:text=Varicella%2Dzoster%20virus%20(VZV),causing%20herpes%20zoster%20(shingles)., World Health Organization, 2007",1.00E-05,0.00061,0.00031,"The fatality rate for varicella was approximately 1 per 100,000 cases among children age 1 through 14 years, 6 per 100,000 cases among persons age 15 through 19 years, and 21 per 100,000 cases among adults. For shingles, the CFR in Europe is estimated to be 2 per 100,000 for ages 45-65 and 61 per 100,000 for ages >65 (CFR_high)",", World Health Organization, 2007",4,,", World Health Organization, 2007",skin_contact,,"https://www.cdc.gov/chickenpox/about/transmission.html , World Health Organization, 2007",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,VZV; Varicella-zoster virus; Human herpesvirus 3; etc.,Virus,NA,NA,1.653213
Picornaviridae,Rhinovirus A,Common cold,Primates,not_zoonotic,"human pathoge, The reservoir for rhinovirus is schoolchildren. Not specific strain of rhinovirus but reservoir for disease.","Wat et al. 2004, Crump, 2019",0,0,0,"Unable to find precise estimates, but CFR is very close to 0. We assumed that our beta regression would appropriately approximate the CFR (given that zeros are transformed to very small fractions)","Wat et al. 2004, Crump, 2019",4,,", Crump, 2019",respiratory_droplets,,", Crump, 2019",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Human rhinovirus A,Virus,NA,NA,1.69897
Picornaviridae,Rhinovirus B,Common cold,Primates,not_zoonotic,"human pathoge, The reservoir for rhinovirus is schoolchildren. Not specific strain of rhinovirus but reservoir for disease.","Wat et al. 2004, Crump, 2019",0,0,0,"Unable to find precise estimates, but CFR is very close to 0. We assumed that our beta regression would appropriately approximate the CFR (given that zeros are transformed to very small fractions)","Wat et al. 2004, Crump, 2019",4,,", Crump, 2019",respiratory_droplets,,", Crump, 2019",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Human rhinovirus B,Virus,NA,NA,1.255273
Picornaviridae,Rhinovirus C,Common cold,Primates,not_zoonotic,"human pathoge, The reservoir for rhinovirus is schoolchildren. Not specific strain of rhinovirus but reservoir for disease.","Wat et al. 2004, Crump, 2019",0,0,0,"Unable to find precise estimates, but CFR is very close to 0. We assumed that our beta regression would appropriately approximate the CFR (given that zeros are transformed to very small fractions)","Wat et al. 2004, Crump, 2019",4,,", Crump, 2019",respiratory_droplets,,", Crump, 2019",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Human rhinovirus C,Virus,NA,NA,1.986772
Filoviridae,Bundibugyo ebolavirus,Ebola hemorrhagic fever,Chiroptera,direct,data from Guth et al.,"Guth et al., Shaw and Hunter, 2012",0.76,0.76,0.76,,", Glaubius et al. 2021",1,,"data from Guth et al. , Shaw and Hunter, 2012",bodily_fluids,data from Guth et al.,"Guth et al. , Shaw and Hunter, 2012",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Bundibugyo virus; Ebolavirus bundibugyo,Virus,NA,NA,1.414973
Filoviridae,Sudan ebolavirus,Ebola hemorrhagic fever,Chiroptera,direct,data from Guth et al.,"Guth et al., Shaw and Hunter, 2012",0.76,0.76,0.76,,", Glaubius et al. 2021",1,,"data from Guth et al. , Shaw and Hunter, 2012",bodily_fluids,data from Guth et al.,"Guth et al. , Shaw and Hunter, 2012",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,SEBOV; Ebolavirus Sudan; Sudan Ebola virus,Virus,NA,NA,1.662758
Herpesviridae,Human betaherpesvirus 6B,Roseola; Roseola infantum; Exanthema subitum; Sixth disease,Primates,not_zoonotic,"human pathogen, not vectorbore and not zoonotic","Shaw et al., Gershon et al. 2013",0,0,0,CFR is presumed to be essentially zero; though there are reports of rare deaths in immunocompromised patients,"James et al. 1949, Hussey et al. 2017",4,transmissibility of disease not specific strain,"https://www.hopkinsmedicine.org/health/conditions-and-diseases/roseola#:~:text=Roseola%20is%20a%20contagious%20viral,roseola%20infantum%20or%20sixth%20disease. https://cchp.ucsf.edu/sites/g/files/tkssra181/f/Roseola_0509.pdf , Hussey et al. 2017",respiratory_droplets,transmission of disease not specific bacterial strain,"https://www.hopkinsmedicine.org/health/conditions-and-diseases/roseola#:~:text=Roseola%20is%20a%20contagious%20viral,roseola%20infantum%20or%20sixth%20disease. , Gershon et al. 2013",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Human herpesvirus 6B; Human herpesvirus 6 type B,Virus,NA,NA,1.491362
Herpesviridae,Human betaherpesvirus 7,Roseola; Roseola infantum; Exanthema subitum; Sixth disease,Primates,not_zoonotic,"human pathogen, not vectorbore and not zoonotic","Shaw et al., Gershon et al. 2013",0,0,0,CFR is presumed to be essentially zero; though there are reports of rare deaths in immunocompromised patients,"James et al. 1949, Hussey et al. 2017",4,transmissibility of disease not specific strain,"https://www.hopkinsmedicine.org/health/conditions-and-diseases/roseola#:~:text=Roseola%20is%20a%20contagious%20viral,roseola%20infantum%20or%20sixth%20disease. https://cchp.ucsf.edu/sites/g/files/tkssra181/f/Roseola_0509.pdf , Hussey et al. 2017",respiratory_droplets,transmission of disease not specific bacterial strain,"https://www.hopkinsmedicine.org/health/conditions-and-diseases/roseola#:~:text=Roseola%20is%20a%20contagious%20viral,roseola%20infantum%20or%20sixth%20disease. , Gershon et al. 2013",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,HHV-7; Herpes simplex virus 7; Human herpesvirus 7,Virus,NA,NA,1.612784
Togaviridae,Rubella virus,Rubella; Congenital rubella syndrome,Primates,not_zoonotic,Rubella is a human disease. There is no known animal reservoir and no evidence of insect transmission.,"https://www.cdc.gov/vaccines/pubs/pinkbook/rubella.html, Wat, 2004",0.000168,0.000168,0.000168,Data from the 1964 epidemic in the US: 12.5 million cases and 2100 (newborn) deaths,"MMWR 2013, Leotte et al. 2016",4,,"https://www.cdc.gov/rubella/about/transmission.html#:~:text=Rubella%20spreads%20when%20an%20infected,baby%20and%20cause%20serious%20harm. , Wat, 2004",respiratory_droplets,,"https://www.cdc.gov/rubella/about/transmission.html , Leotte et al. 2016",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,3.375664
Poxviridae,Variola virus,Smallpox,Primates,not_zoonotic,,"https://www.cdc.gov/smallpox/clinicians/transmission.html, MacNeil et al. 2010",0.3,0.3,0.3,Pre-vaccine statistics,"Belongla et al. 2003, MacNeil et al. 2010",4,,"https://www.cdc.gov/smallpox/transmission/index.html#:~:text=Smallpox%20patients%20became%20contagious%20once,last%20smallpox%20scab%20fell%20off. , MacNeil et al. 2010",respiratory_droplets,,"https://www.cdc.gov/smallpox/clinicians/transmission.html#:~:text=Human%2Dto%2Dhuman%20transmission%20of,sloughing%20off%20of%20oropharyngeal%20lesions. , MacNeil et al. 2010",Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Smallpox virus; Variola virus VAR,Virus,NA,NA,2.778874
Rickettsiaceae,Rickettsia africae,African tick bite fever,Artiodactyla,direct,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Laurens, 2019",0,0,0,"African tick bite fever is usually a self-limited, mild disease, and no fatalities have been reported to date","https://academic.oup.com/cid/article/39/10/1493/459434#6898518, Laurens, 2019",0,"disease is not transmitted from person to person, only by vector","Lowery et al. 2020 , Laurens, 2019",vector,tick,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr#table419 , Laurens, 2019",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.187521
Bacillaceae,Bacillus anthracis,Anthrax,Environment,direct,,"https://webwiser.nlm.nih.gov/substance?substanceId=436&identifier=Anthrax&identifierType=name&menuItemId=106&catId=181, Parkman, 1996",0.05,0.2,0.125,The human cutaneous anthrax case-fatality rate is 5%â€“20% when untreated.,"Blackburn et al. 2021, World Health Organization, 2012",0,disease is transmitted from environment to human hosts,"https://www.cdc.gov/anthrax/basics/index.html , World Health Organization, 2012",via_environment,,"https://www.cdc.gov/anthrax/transmission/index.html , World Health Organization, 2012",Extracellular,NA,Shaw et al. 2020,Bacteridium anthracis; Bacillus cereus var. anthracis,Bacteria,Non-motile,Yes,3.6797
Mycobacteriaceae,Mycobacterium marinum,Aquarium granuloma; Fish tank granuloma; Swimming pool granuloma,Environment,direct,,"Holden et al. 2018, Slifka and Hanifin, 2004",0,0,0,NA,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3555658/, Slifka and Hanifin, 2004",0,,"The Center for Food Security and Public Health et al. 2009 Piscine Mycobacteriosis , Slifka and Hanifin, 2004",via_environment,"Currently, most human infection cases happen with the exposure to aquaria (Aubry et al. 2002) as well as skin injuries occurring during the processing or preparations of seafood","Emad Hashish et al. 2018 , Slifka and Hanifin, 2004",Extracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,3.058046
Clostridiaceae,Clostridium botulinum,Botulism,Environment,direct,,"Mari Espelund et al. 2014, Frean et al. 2008",0.05,0.1,0.075,The disease can be fatal in 5 to 10% of cases.,"https://www.who.int/news-room/fact-sheets/detail/botulism,",0,,"https://www.who.int/news-room/fact-sheets/detail/botulism , Iweriebor et al. 2020",via_environment,,"WHO 2018 Botulism , Iweriebor et al. 2020",Extracellular,NA,Shaw et al. 2020,"Pacinia putrifica; Ermengemillus botulinus; Clostridium putrificum, etc.",Bacteria,Motile,Yes,3.567497
Rickettsiaceae,Rickettsia conorii,"Boutonneuse fever; Mediterranean spotted fever; Israeli tick typhus, etc.",Vector,direct,,"Colomba et al. 2006, Alexander et al. 2018",0.05,0.05,0.05,The case-fatality rate (CFR) of BF is less than 5%,"https://www.ncbi.nlm.nih.gov/books/NBK560914/, Johari, 2002",0,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr , Alexander et al. 2018",vector,brown dog tick,"Cristina Socolovschi et al. 2012 , Alexander et al. 2018",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.816241
Brucellaceae,Brucella abortus,Brucellosis,Artiodactyla,direct,"Most people become infected by direct contact with infected animals or their tissues, or by ingesting contaminated dairy products.","M. M. Zheludkov et al. 2009, The Center for Food Security and Public Health et al. 2018 Brucellosis abortus, Hashish et al. 2018",0.02,0.05,0.035,"Brucellosis is rarely fatal if treated; in untreated persons, estimates of the case fatality rate vary from less than 2% to 5%","https://www.usf.edu/research-innovation/research-integrity-compliance/documents/iacuc/zoonotics/brucellosis-iowa.pdf, Hashish et al. 2018",0,transmissibility of disease not specific strain of bacteria,"https://www.who.int/zoonoses/diseases/Brucellosissurveillance.pdf , Hashish et al. 2018",via_environment,transmission of disease not species of bacteria,"https://www.cdc.gov/brucellosis/transmission/index.html , Hashish et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,Brucella melitensis biovar Abortus; Bacterium abortus,Bacteria,Non-motile,No,3.56632
Brucellaceae,Brucella canis,Brucellosis,Carnivora,direct,"In case reports, B. canis infections have occurred after close contact with dogs,","M. M. Zheludkov et al. 2009, The Center for Food Security and Public Health et al. 2018 Brucella canis .pdf, Hashish et al. 2018",0.02,0.05,0.035,"Brucellosis is rarely fatal if treated; in untreated persons, estimates of the case fatality rate vary from less than 2% to 5%","https://www.usf.edu/research-innovation/research-integrity-compliance/documents/iacuc/zoonotics/brucellosis-iowa.pdf, Hashish et al. 2018",0,transmissibility of disease not specific strain of bacteria,"https://www.who.int/zoonoses/diseases/Brucellosissurveillance.pdf , Hashish et al. 2018",via_environment,transmission of disease not species of bacteria,"https://www.cdc.gov/brucellosis/transmission/index.html , Hashish et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,Brucella melitensis biovar Canis,Bacteria,Non-motile,No,2.517196
Brucellaceae,Brucella melitensis,Brucellosis,Artiodactyla,direct,"Most people acquire this organism by direct contact with infected animals or their tissues, or by the ingestion of contaminated dairy products.","M. M. Zheludkov et al. 2009, The Center for Food Security and Public Health et al. 2018 Brucella melitensis, Hashish et al. 2018",0.02,0.05,0.035,"Brucellosis is rarely fatal if treated; in untreated persons, estimates of the case fatality rate vary from less than 2% to 5%","https://www.usf.edu/research-innovation/research-integrity-compliance/documents/iacuc/zoonotics/brucellosis-iowa.pdf, Hashish et al. 2018",0,transmissibility of disease not specific strain of bacteria,"https://www.who.int/zoonoses/diseases/Brucellosissurveillance.pdf , Hashish et al. 2018",via_environment,transmission of disease not species of bacteria,"https://www.cdc.gov/brucellosis/transmission/index.html , Hashish et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,Streptococcus Miletensis; Micrococcus melitensis,Bacteria,Non-motile,No,3.299071
Brucellaceae,Brucella suis,Brucellosis,Artiodactyla,direct,"Humans usually become infected by ingesting organisms or via contaminated mucous membranes (including the conjunctiva and respiratory tract) and abraded skin. B. suis can be transmitted to people in unpasteurized milk products from reindeer or other infected animals, including cattle.","M. M. Zheludkov et al. 2009, The Center for Food Security and Public Health et al. 2018 Brucella suis .pdf, Hashish et al. 2018",0.02,0.05,0.035,"Brucellosis is rarely fatal if treated; in untreated persons, estimates of the case fatality rate vary from less than 2% to 5%","https://www.usf.edu/research-innovation/research-integrity-compliance/documents/iacuc/zoonotics/brucellosis-iowa.pdf, Hashish et al. 2018",0,transmissibility of disease not specific strain of bacteria,"https://www.who.int/zoonoses/diseases/Brucellosissurveillance.pdf , Hashish et al. 2018",via_environment,transmission of disease not species of bacteria,"https://www.cdc.gov/brucellosis/transmission/index.html , Hashish et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,Brucella melitensis biovar Suis,Bacteria,Non-motile,No,2.790988
Mycobacteriaceae,Mycobacterium ulcerans,Buruli ulcer,Unknown,Unknown,,"Till F. Omansen et al. 2019, Acha et al. 2001",0,0,0,"BU is rarely fatal, but untreated infections leave patients with significant disfigurement and disability, with damaging personal and economic consequences","Wallace et al. 2017, Jackson et al. 2016",0,,"https://www.betterhealth.vic.gov.au/health/healthyliving/Buruli-ulcer, http://www.globalhealthprimer.emory.edu/diseases/buruli-ulcer.html#:~:text=Other%20scientists%20hypothesize%20that%20infection,but%20conclusive%20evidence%20is%20lacking.&text=Buruli%20ulcer%20is%20not%20considered%20contagious%20from%20human%20to%20human. , Acha et al. 2001",unknown,,"WHO 2021 Buruli ulcer , Acha et al. 2001",Extracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.974512
Bartonellaceae,Bartonella clarridgeiae,Cat scratch disease,Carnivora,direct,,"Sato et al. 2017, Levin et al. 2012",0,0,0,Even the rare cases associated with neurologic manifestations are not generally fatal.,"Fouch et al. 2007, Moraga et al. 1982",0,,"https://www.cdc.gov/healthypets/diseases/cat-scratch.html#:~:text=Cat%20scratch%20disease%20(CSD)%20is,the%20surface%20of%20the%20skin. , Moraga et al. 1982",animal_bite,proxied with Bartonella henselae,"https://www.cdc.gov/bartonella/transmission/index.html , Moraga et al. 1982",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,2.049218
Bartonellaceae,Bartonella henselae,Cat scratch disease,Carnivora,direct,,"Chang et al. 2000, Sato et al. 2017, Levin et al. 2012",0,0,0,Even the rare cases associated with neurologic manifestations are not generally fatal.,"Fouch et al. 2007, Moraga et al. 1982",0,proxied with transmissiblity for Bartonella clarridgeiae,"https://www.cdc.gov/healthypets/diseases/cat-scratch.html#:~:text=Cat%20scratch%20disease%20(CSD)%20is,the%20surface%20of%20the%20skin. , Moraga et al. 1982",animal_bite,,"https://www.cdc.gov/bartonella/transmission/index.html , Moraga et al. 1982",Facultative intracellular,NA,Shaw et al. 2020,Rochalimaea henselae,Bacteria,Motile,No,3.169674
Rickettsiaceae,Rickettsia felis,Cat-flea typhus,Vector,direct,,"Md Monirul Hoque et al. 2020, Corbel, 2006",0,0,0,NA,"Md Monirul Hoque et al. 2020, Spickler, 2018",0,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr , Corbel, 2006",vector,flea,"Brown et al. 2016 , Corbel, 2006",Obligate intracellular,NA,Shaw et al. 2020,Rickettsia azadi,Bacteria,Non-motile,No,2.531479
Dermatophilaceae,Dermatophilus congolensis,Dermatophilosis,Environment,direct,may get disease from contact with an infecrted animal,"https://www.cfsph.iastate.edu/FastFacts/pdfs/dermatophilosis_F.pdf, Singh et al. 2018",0,0,0,"In humans, after direct contact with an infected animal, dermatophilosis leads to the development of pustules on the hands and arms that are not painful. These sores will later break down to form shallow red ulcers that heal and leave scars.","Center for Food Security & Public Health et al. 2006, Singh et al. 2018",0,,"https://www.cfsph.iastate.edu/FastFacts/pdfs/dermatophilosis_F.pdf , Singh et al. 2018",skin_contact,,"after direct contact with an infected animal, dermatophilosis leads to the development of pustules on the hands and arms that are not painful. , Singh et al. 2018",unknown,NA,NA,"Tetragenus congolensis; Nocardia dermatonomus; Dermatophylus congolense, etc.",Bacteria,Motile,Yes,2.350248
Corynebacteriaceae,Corynebacterium diphtheriae,Diptheria,Primates,not_zoonotic,human pathogen,"https://www.cdc.gov/vaccines/pubs/pinkbook/downloads/dip.pdf, Kirkpatrick and Glickman, 1989",0.288,0.292,0.29,"We estimate that the case fatality ratio for untreated, never-vaccinated cases is 29.0% (95% credible interval [CrI], 28.8%â€“29.2%)","Truelove et al. 2019, Murray et al. 2016",4,"Diphtheria bacteria spread from person to person, usually through respiratory droplets, like from coughing or sneezing. People can also get sick from touching infected open sores or ulcers.","https://www.cdc.gov/diphtheria/about/causes-transmission.html , Murray et al. 2016",respiratory_droplets,,"https://www.cdc.gov/diphtheria/about/causes-transmission.html , Murray et al. 2016",Extracellular,NA,https://pubmed.ncbi.nlm.nih.gov/12393210/,"Pacinia loeffleri; Mycobacterium diphtheriae; Microsporon diphtheriticum, etc.",Bacteria,Non-motile,No,3.266702
Borreliaceae,Borrelia duttonii,East African tick-borne relapsing fever,Primates,direct,human pathogen,"Sally J. Cutler et al. 2016, Abdad et al. 2011",0,0.01112,0.00556,Calculated the CFR based on hospitalized cases and hospitalized deaths.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3321891/, Abdad et al. 2011",0,,"https://www.ecdc.europa.eu/en/louse-borne-relapsing-fever/facts#:~:text=Transmission,louse%20will%20ingest%20Borrelia%20recurrentis. https://www.researchgate.net/publication/5826092_Does_Tick-Borne_Relapsing_Fever_Have_an_Animal_Reservoir_in_East_Africa , Abdad et al. 2011",vector,,"McCall et al. 2008 , Abdad et al. 2011",Extracellular,NA,Shaw et al. 2020,Spirochaeta duttoni; Spirillum duttoni,Bacteria,Motile,No,1.740363
Hafniaceae,Edwardsiella tarda,Edwardsiellosis,Fish,direct,,"https://link.springer.com/content/pdf/10.1007%2F0-387-30746-X_4.pdf, Underwood et al. 2015",0.12,0.446,0.283,"Previous studies reported high rates of death for E. tarda bacteremia, ranging from 22.7% to 44.6% (1,5,9). In contrast, the death rate for patients with E. tarda bacteremia in the cohort reported here was low at 12%.","https://wwwnc.cdc.gov/eid/article/25/10/18-0518_article, Underwood et al. 2015",0,,"Spencer et al. 2008 , Underwood et al. 2015",via_environment,,"Hirai et al. 2015 , Underwood et al. 2015",Facultative intracellular,NA,Shaw et al. 2020,Paracolobactrum anguillimortiferum; Edwardsiella anguillimortifera,Bacteria,Motile,No,2.943989
Anaplasmataceae,Ehrlichia ewingii,Ehrlichiosis,Artiodactyla,direct,,"Michael J. Yabsley et al. 2002, https://www.cfsph.iastate.edu/Factsheets/pdfs/ehrlichiosis.pdf, Truelove et al. 2020",0.018,0.018,0.018,"CFR of disease not specific strain, Ehrlichiosis can be fatal if left untreated, and has a 1.8% case fatality rate.","https://www.azdhs.gov/documents/preparedness/epidemiology-disease-control/investigation-manual/vectorborne/ehrlichiosis-protocol.pdf, Truelove et al. 2020",0,transmissibility of Ehrlichiosis not specific bacteria strain,"https://www.cdc.gov/ehrlichiosis/transmission/index.html , Truelove et al. 2020",vector,"tick, transmission of disease not specific strain of bacteria","https://www.cdc.gov/ehrlichiosis/healthcare-providers/transmission-and-epidemiology.html#:~:text=Most%20people%20get%20ehrlichiosis%20from,by%20the%20blacklegged%20tick%20(I. , Truelove et al. 2020",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.033424
Anaplasmataceae,Ehrlichia muris,Ehrlichiosis,Artiodactyla,direct,,"https://www.cfsph.iastate.edu/Factsheets/pdfs/ehrlichiosis.pdf, Truelove et al. 2020",0.018,0.018,0.018,"CFR of disease not specific strain, Ehrlichiosis can be fatal if left untreated, and has a 1.8% case fatality rate.","https://www.azdhs.gov/documents/preparedness/epidemiology-disease-control/investigation-manual/vectorborne/ehrlichiosis-protocol.pdf, Truelove et al. 2020",0,transmissibility of Ehrlichiosis not specific bacteria strain,"https://www.cdc.gov/ehrlichiosis/transmission/index.html , Truelove et al. 2020",vector,"tick, transmission of disease not specific strain of bacteria","https://www.cdc.gov/ehrlichiosis/healthcare-providers/transmission-and-epidemiology.html#:~:text=Most%20people%20get%20ehrlichiosis%20from,by%20the%20blacklegged%20tick%20(I. , Truelove et al. 2020",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.021189
Anaplasmataceae,Ehrlichia chaffeensis,Ehrlichiosis,Artiodactyla,direct,,"Michael J. Yabsley et al. 2002, https://www.cfsph.iastate.edu/Factsheets/pdfs/ehrlichiosis.pdf, Truelove et al. 2020",0.018,0.018,0.018,"CFR of disease not specific strain, Ehrlichiosis can be fatal if left untreated, and has a 1.8% case fatality rate.","https://www.azdhs.gov/documents/preparedness/epidemiology-disease-control/investigation-manual/vectorborne/ehrlichiosis-protocol.pdf, Truelove et al. 2020",0,transmissibility of Ehrlichiosis not specific bacteria strain,"https://www.cdc.gov/ehrlichiosis/transmission/index.html , Truelove et al. 2020",vector,"tick, transmission of disease not specific strain of bacteria","https://www.cdc.gov/ehrlichiosis/healthcare-providers/transmission-and-epidemiology.html#:~:text=Most%20people%20get%20ehrlichiosis%20from,by%20the%20blacklegged%20tick%20(I. , Truelove et al. 2020",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.779596
Erysipelotrichaceae,Erysipelothrix rhusiopathiae,Erysipeloid,Artiodactyla,direct,pigs,"Tanja Opriessnig et al. 2020, Stanek, 2021",0.38,0.38,0.38,Mortality rate in Erysipelothrix endocarditis,"Fidalgo et al. 2004, Rebaudet and Parola, 2006",0,,"Wang et al. 2008 , Stanek, 2021",skin_contact,,"Balootaki et al. 2017 , Stanek, 2021",Facultative intracellular,NA,Shaw et al. 2020,"Erysipelothrix porci; Erysipelothrix murisepticus; Erysipelothrix insidiosa, etc.",Bacteria,Non-motile,No,2.902003
